Id,Sentence,Entity_1,Entity_2,Relation
70,Currency depreciation affects import costs.,currency depreciation,import costs,affects
71,Blockchain enhances transparency in supply chains.,blockchain,supply chain transparency,affects
72,P2P lending affects traditional bank lending practices.,p2p lending,traditional bank,affects
73,AI technologies affect market analysis techniques.,artificial intelligence,market analysis,affects
74,The rise in interest rates Affects the cost of borrowing for those with a mortgage.,Interest rate,Mortgage,affects
75,Stock market volatility Affects investor confidence in the economy.,Stock market,Investor confidence,affects
76,The Federal Reserve's decision to change the interest rate Affects bond yields.,Interest rate,Bond,affects
77,A surge in demand for loans Affects banks' lending policies.,Loan,Bank,affects
79,The growth of the cryptocurrency market Affects traditional financial institutions.,Cryptocurrency,Financial institutions,affects
80,Rising inflation Affects the purchasing power of consumers.,Inflation,Consumer purchasing power,affects
81,Changes in exchange rates Affect the profitability of foreign investments.,Exchange rate,Profitability of foreign investments,affects
82,A drop in the stock market Affects retirement account balances.,Stock market,Retirement account,affects
83,Property tax hikes Affect homeowners' annual expenses.,Property tax,Annual expenses,affects
84,The Federal Reserve's decisions on interest rates Affect the APR for loans.,Interest rate,APR (Annual Percentage Rate),affects
85,A strong dollar Affects the competitiveness of U.S. exports.,Foreign currency,Competitiveness of U.S. exports,affects
86,Hedge fund strategies Affect portfolio diversification.,Hedge fund,Portfolio diversification,affects
87,Rising healthcare costs Affect individuals' ability to save for retirement.,Health insurance,Saving for retirement,affects
88,The Federal Reserve's policy changes Affect the stock market's performance.,Federal Reserve,Stock market performance,affects
89,Changes in the real estate market Affect property values.,Real estate,Property values,affects
90,The government's tax policy Affects small businesses' profitability.,Tax policy,Small businesses' profitability,affects
91,Credit score improvements Affect access to better loan terms.,Credit score,Access to loan terms,affects
92,A downturn in the economy Affects employment rates.,Economy,Employment rates,affects
93,The rise in gas prices Affects household budgets.,Gas prices,Household budgets,affects
94,Rising student loan debt Affects young adults' financial stability.,Student loan,Financial stability,affects
95,Government regulations Affect the operations of financial advisors.,Government regulations,Financial advisors,affects
96,Changes in the bond market Affect investment strategies.,Bond market,Investment strategies,affects
97,A decrease in dividends Affects shareholders' income.,Dividends,Shareholders' income,affects
98,The announcement of an IPO Affects a company's stock price.,IPO (Initial Public Offering),Company's stock price,affects
99,Increased stock market volatility Affects investor sentiment.,Stock market,Investor sentiment,affects
100,The Federal Reserve's monetary policy Affects the money market account rates.,Federal Reserve,Money market account rates,affects
101,A rise in unemployment rates Affects consumer spending.,Unemployment rates,Consumer spending,affects
102,Global economic uncertainty Affects investment decisions.,Global economic uncertainty,Investment decisions,affects
103,Rising property values Affect property tax revenue for cities.,Property values,Property tax revenue,affects
104,A decline in the housing market Affects real estate developers' profits.,Housing market,Real estate developers' profits,affects
105,An increase in insurance premiums Affects individuals' monthly expenses.,Insurance premiums,Monthly expenses,affects
106,The implementation of risk management strategies Affects portfolio performance.,Risk management,Portfolio performance,affects
107,A decrease in the APR Affects the cost of borrowing for consumers.,APR (Annual Percentage Rate),Consumer borrowing cost,affects
108,Changes in the stock market Affect mutual fund returns.,Stock market,Mutual fund returns,affects
109,The introduction of a new credit card Affects consumers' spending habits.,Credit card,Consumer spending habits,affects
110,Government policies on cryptocurrency Affect its adoption rate.,Government policies,Cryptocurrency adoption rate,affects
111,A decrease in bond yields Affects retirement account growth.,Bond yields,Retirement account growth,affects
112,Rising income levels Affect individuals' investment capacity.,Income,Investment capacity,affects
113,Changes in the exchange rate Affect international business operations.,Exchange rate,International business operations,affects
114,The Federal Reserve's announcement Affects the yield on Treasury bonds.,Federal Reserve,Yield on Treasury bonds,affects
115,A drop in the stock market Affects investors' confidence.,Stock market,Investor confidence,affects
116,Rising expenses Affect households' ability to save for emergencies.,Expenses,Ability to save for emergencies,affects
117,The introduction of a new ATM feature Affects banking convenience.,ATM,Banking convenience,affects
119,Changes in the housing market Affect property values in specific neighborhoods.,Housing market,Property values in specific neighborhoods,affects
120,Global economic trends Affect the performance of commodities.,Global economic trends,Performance of commodities,affects
122,An increase in the dividend payout Affects shareholders' income.,Dividend payout,Shareholders' income,affects
123,A decrease in interest rates Affects the return on savings accounts.,Interest rate,Return on savings accounts,affects
482,"Digestive System Gastrointestinal stromal tumors, also known as GIST, are cancers of the digestive system that affect 15 new patients per one million each year, according to AB Science.",GIST,Patients,affects
483,"That's because, for financial statement purposes, changes in timing of tax deductions don't affect earnings.",tax deductions,earnings,affects
484,"""Instead, what we're seeing from Senate Democrats is a plan that targets oil and gas producers -- the very sectors our nation relies on for economic growth."" Real estate investments could be affected by the repeal of the ""like-kind"" rules that allow tax-free exchanges of similar assets.","""like-kind"" rules",Real estate investments,affects
485,"""These tax reform proposals could greatly affect property values, economic activity, and the liquidity of investments, and could have broad unintended consequences,"" DeBoer said.",tax reforms,"property values, economic activity, and the liquidity of investments",affects
488,Impartial Judiciary Any of the financial regulations soon to be issued could be affected by this change to the D.C.,financial regualtions,The D.C.,affects
489,The change enacted yesterday doesn't affect the deference given by custom to senators to sign off nominees to federal judgeships in their home states.,the change,deference,affects
490,"Senate Holds Nor does it technically affect the traditional Senate practice of placing a ""hold"" on a nominee.",Senate holds,traditional senate practice,affects
491,HUNT: Will that affect many of those people with pre-existing conditions?,Hunt,people,affects
492,"The plan, which will mostly affect employees in Germany and France , is part of a revamp that will see the entire business take the name of jetliner unit Airbus.",The plan,Employees,affects
493,"""The rumor of the chairman being arrested is probably the main reason affecting the company's shares,"" said Sam Chi Yung, a strategist at Delta Asia Securities Ltd. in Hong Kong .",rumor,company's shares,affects
494,"""This kind of rumor affects stock prices quite a lot."" The 21st Century Business Herald reported the rumors that Guo had been barred from leaving Hong Kong on its website.",rumor,stock prices,affects
496,"""If our neighbor is doing tapping that reflects that they distrust us, and I think that will affect the bilateral relationship,"" said Wirjawan.",tapping,bilateral relationship,affects
497,"That's scary for him."" How Sanctions Affect Uranium Production Alwaleed believes a stronger president would have the willpower to say no to a flawed deal with Iran.",Sanctions,Uranium Production,affects
498,The sewer rate increases will disproportionately affect the poor.,increase in rates,poors,affects
499,Seventy-one percent say they expect political gridlock in Washington to affect U.S. economic growth next year.,Political gridlock,econimc growth,affects
500,The trend is affecting retailers of all kinds.,trend,retailers,affects
501,"A trial period would help inform whether the materials convey useful information or affect investor behavior, he said.",Materials,Investor behaviour,affects
503,"The government is reviewing cattle exports from Australia, Trade Minister Gita Wirjawan said yesterday, in the first sign the spying spat may affect trade between the neighbors.",spying spat,trade,affects
506,Invalidated Insurance The insurance restrictions affected about 95 percent of the global tanker fleet because the ships are covered under rules governed by European law.,Insurance restriction,global tanker fleet,affects
507,"Banking Restrictions The agreement won't loosen financial restrictions that affect most Iranian banks and make it almost impossible for the government to access the global financial system, according to U.S. officials.",financial restrictions,IBank and government,affects
508,"You either let the imbalances keep growing, devalue the ruble and fall lower, or you pull yourself together and jump higher."" Sergei Kupriyanov , Gazprom's spokesman, said the price cap on industrial users will affect the gas company's investment program ""one way or another,"" declining to elaborate.",industrial users,Investment Program,affects
509,"""We will do our very best to assist in rescue and post-disaster efforts and work with government investigators to find out the cause."" Lv Dapeng, a spokesman for Beijing-based Sinopec, said today that operations at the Qingdao refinery will have ""some disruption,"" with imports being affected.",Imports,Operations,affects
511,"The study, published today in the British Journal of Sports Medicine, is one of the first to focus on how exercise affects health in the elderly.",Exercise,HEalth,affects
512,Tanker Fleet The insurance restrictions affected about 95 percent of the global tanker fleet because the ships are covered under rules governed by European law.,Insurance restrcitions,Global tanker fleet,affects
513,"The U.S. will continue to enforce the core sanctions, which are unaffected by the weekend deal, David Cohen , Treasury under secretary for terrorism and financial intelligence, said today on Bloomberg Television.",core sanctions,weekend deal,affects
514,The first-step deal won't loosen the restrictions that affect most Iranian banks and make it almost impossible for Iran to regain access to the global financial system.,Restrictions,Banks,affects
515,"The next round will ""directly affect the purchasing of new equipment, funding of research and innovation within the defense industry and put hundreds of thousands of middle-class jobs at risk,"" according to a statement from Senator Richard Durbin of Illinois, the chamber's second-ranking Democrat.",Next round,Purchases,affects
516,"""What we do know is that the agreement does not directly affect oil sanctions in a big way."" The volume of Iranian crude oil available to the international market will ""remain largely unchanged over at least the next six months,"" Goldman Sachs Group Inc. (GS) predicted in a report published today.",Agreement,Oil sanctions,affects
517,One in six men and women in the survey said their health affected their sex lives.,health,sex lives,affects
518,"She said the rules won't ""directly"" affect non-federally regulated lenders.",rules,non-federally regulated lenders,affects
519,"When asked what it would mean for Google Inc., Amazon.com Inc. and Apple Inc., whose tax strategies have attracted international attention, Semeta said the plan would affect a range of companies.",The plan,range of companies,affects
521,Speedy Implementation So how will this reform affect Mexico's economic growth?,reform,economic growth,affects
522,"""Inflation accelerated significantly, and that also affects the decision, at least in the short run."" Sales abroad are central to Israel's economic growth, accounting for about a third of economic output, the government has said.",Inflation,decision,affects
523,"""Calamities highlight the Philippines's dependence on remittances to finance domestic consumption, with the affected families turning to their relatives working abroad for help,"" said Trinh Nguyen , an economist at HSBC Holdings Plc in Hong Kong, who forecasts the funds could rise 6 percent this year.",Calamities,families,affects
524,"Overseas Filipinos rushing to send money to families affected by Haiyan will boost funds over the next few months, according to HSBC, UBS AG, Credit Suisse Group AG and Barclays Plc.",haiyan,families,affects
525,Lowe today reiterated the central bank remains open minded on market action to affect the currency's level.,market's action,currency level,affects
526,"""Many firms that we talk with -- particularly those affected by the high exchange rate -- report that they have made serious efforts over recent years to make their operations more efficient,"" he said.",firms,high rate of exchange,affects
527,Any recommendations also are likely to affect U.S. foreign policy .,recommendations,Foreign policy,affects
528,"""If people are very anxious and feeling insecure economically, their performance on the job is going to be affected,"" said Isabel Sawhill, a senior fellow in economic studies at the Brookings Institution in Washington .",anxious and feeling insecure economically,performance at job,affects
1632,"By then, slowing growth will have seriously affected the ability of these corporations to make profits and service their debts, repayments for which will be much higher in fiscal 2014.",slowing growth,corporations,affects
1633,"How Sanctions Affect Uranium Production Q: Israeli Prime Minister Benjamin Netanyahu called this ""an exceedingly bad deal"" in an interview aired yesterday on CNN.",Sanctions,Uranium Production,affects
1634,"The change affects collateral posted in the swaps and futures markets, where outstanding contracts have a notional value of about $430 trillion, he said Nov. 14.",change,futures markets,affects
1635,"""We probably won't see growth of this magnitude again until 2015, when the affects of monetary easing will be felt,"" Fernando Soto, senior economist at Banco Bilbao Vizcaya Argentaria SA in Santiago, said before today's announcement.",monetary easing,growth of this magnitude,affects
1636,"It had no comment to make about the new policy or how it might affect its business, Chris Hogg, a spokesman, said by e-mail.",new policy,business,affects
1637,"""But now the tide is turning against them."" Shipbuilding isn't the only industry affected by overcapacity.",overcapacity,Shipbuilding,affects
1638,"The changes will affect depots where waiting times exceed 50 calendar days, a broader group than the original proposal that pertained to sites where waits were longer than 100 days.",changes,depots,affects
1639,"""This rule will affect every lender, every title company, and every single borrower and property seller,"" Fine said in an e-mail.",rule,lender,affects
1640,"Productivity was important, cost was important, and we wanted to make sure what we installed didn't affect the game in any way or the fan experience.",what we installed,game,affects
1641,"""The service level for day-to-day operations has now been halved,"" meaning production at some facilities may be affected within days, Hilde-Marit Rysst, leader of the Safe union, said today by phone.",service level,production at some facilities,affects
1642,S&P also said the plan won't affect ratings of the lenders' covered bonds.,plan,ratings,affects
1643,"The ""very rare"" probability that the extension option gets exercised probably won't ""affect either the very low credit risk of the bonds or their high liquidity,"" Kristian Vie Madsen, deputy director general at the Copenhagen-based FSA, said in an e-mailed response to questions.",extension option,very low credit risk of the bonds,affects
1644,Even small movements could affect the value of what Morningstar Inc. estimates is $3.6 trillion in funds including pension and savings accounts that track global indexes.,small movements,Morningstar Inc.,affects
1645,"""While the USPS will benefit from increased network density, it's unclear how the deal will affect its weak financial footing,"" Lee Klaskow , a Bloomberg Industries analyst, said in a Nov. 13 report.",deal,financial footing,affects
1646,"""If you see a complete slowdown in commodities and consumers stop spending, this will affect their business."" Aston Hill has held the stock since May 2013.",consumers stop spending,business,affects
1647,"The job cuts yesterday won't affect customer service , Havgaard said, because they're mostly in areas that are ""very much internal-oriented."" The Financial Services Union Denmark had estimated the bank would need to fire as many as 2,000 employees to meet its goal, FinansWatch reported yesterday, citing Kent Petersen, the organization's chairman.",job cuts yesterday,customer service,affects
1648,"Business Location Each detail in Baucus's proposal affects companies in different ways depending on how they have set up their businesses, where they operate and where they have located their intellectual property.",Business Location,companies,affects
1649,"BioMarin is among companies developing drugs for diseases that affect as few as 5,000 to 10,000 patients worldwide and are priced at as much as $400,000 a year per patient.",BioMarin,patients,affects
1650,"Both large and small investors have been affected by the shrinking trade sizes, with transactions bigger than $5 million falling 13 percent to an average $11.3 million this year from $13 million in 2007, according to a Nov. 15 report from Barclays Plc strategists led by Jeffrey Meli and Bradley Rogoff.",shrinking trade sizes,investors,affects
1651,"CLP doesn't expect the transaction to affect customer bills in the near term, CLP Vice Chairman Betty Yuen said.",transaction,customer bills,affects
1652,"Oil Production Still, most companies' oil and gas production hasn't been affected by the civil unrest in the North African state because most fields are situated in remote areas.",civil unrest,oil and gas production,affects
1654,"Bieber consulted on policy issues affecting the audit and accounting professions and participated in rulemaking, enforcement proceedings and congressional testimony, the firm said.",policy issues,accounting professions,affects
1655,"Smiths Group warned that foreign-exchange rates are a ""headwind"" that may affect earnings.",foreign-exchange rates,earnings,affects
1656,"Twelve percent of workers are expected to be affected by the ""Cadillac tax"" on especially generous health-care benefits when it kicks in in 2018.",Cadillac tax,workers,affects
1657,"Gasoline prices aren't expected to affect travel plans, AAA said.",Gasoline prices,travel plans,affects
1659,One unknown issue is how the date will be affected by the Internal Revenue Service's delay of the start of the tax filing season because of the government shutdown.,Internal Revenue Service's delay,date,affects
1660,Eastern Europe was the worst affected of all emerging markets by the global financial turmoil that began after Lehman Brothers Holdings Inc.'s demise because of banking and trade links with the continent's crisis-stricken west.,global financial turmoil,Eastern Europe,affects
1661,"Diageo Plc lost 1.2 percent to 2,005 pence after CEO Menezes told journalists yesterday he expects the ""uncertain"" global economy to continue to affect sales growth for the world's biggest distiller.","""uncertain"" global economy",sales growth,affects
1664,"""The entry of northern Iraqi oil would not affect the price of oil in world markets but it is an important step for normalization of whole of Iraq and for Turkey's supply security,"" he said.",entry of northern Iraqi oil,price of oil,affects
1665,"The agency backed down after feedback suggested that the all-in APR, is the rule is known, ""might have affected the types of loans available to consumers,"" it said in an e-mailed statement today.",all-in APR,types of loans available to consumers,affects
1666,"Bank of America Corp. also concluded that the all-in approach would ""negatively affect consumers by restricting their ability to obtain mortgage credit,"" Larry Chattoo, assistant general counsel at the company, said at the Boston hearing.",all-in approach,consumers,affects
1667,"In addition, financial markets were affected for a time by uncertainties about raising the federal debt limit and resolving the government shut-down.",uncertainties about raising the federal debt limit,financial markets,affects
1668,Short-term funding markets were adversely affected for a time by concerns about potential delays in raising the federal debt limit.,delays in raising the federal debt limit.,Short-term funding markets,affects
1669,The Treasury bill market was particularly affected as yields on bills maturing between mid-October and early November rose sharply and some bill auctions saw reduced demand.,bill auctions,Treasury bill market,affects
1670,Developments affecting financing for the household sector were generally favorable.,Developments,financing,affects
1671,"By contrast, participants ex-pressed a range of concerns about using open market operations aimed at affecting the expected path of short-term interest rates, such as a standing purchase facility for shorter-term Treasury securities or the pro-vision of term funding through repurchase agreements.",market operations,expected path,affects
1672,"The System Open Market Account Manager and the Secretary will keep the Committee informed of ongoing developments regarding the System's balance sheet that could affect the attainment over time of the Committee's objectives of maximum employment and price stability."" The vote encompassed approval of the statement be-low to be released at 2:00 p.m.: ""Information received since the Federal Open Market Committee met in September generally suggests that economic activity has continued to expand at a moderate pace.",ongoing developments regarding the System's balance sheet,Committee's objectives,affects
1673,"It cited weaker economy growth and a ""deteriorating business environment"" that may affect companies.",deteriorating business environment,companies,affects
1674,"""We are striving to consider this rule before year-end in order to provide clarity and certainty to the affected members of the industry and to the public more broadly,"" said Yellen, the Fed's vice chairman.",rule,members,affects
1675,"Because the Fed says rates and purchases both will be ""data dependent,"" then it follows that changes to the purchases known as quantitative easing reflect shifts in economic data that also affect rates, he said.",quantitative easing reflect shifts,rates,affects
1676,"About 280 employees will be affected by the measures, Akzo said.",measures,employees,affects
1677,"The reductions will affect the information-technology department and the boiler unit, and may be extended to other operations if needed, Kron has said.",reductions,information-technology department,affects
1678,"That's because, for financial statement purposes, changes in timing of tax deductions don't affect earnings.",changes in timing of tax deductions,earnings,affects
1679,"The AAF examined 32 industries and ""major, economically significant"" regulations that ""impose unfunded private-sector mandates and affect small businesses.""",regulations,small businesses,affects
1683,"""They have to have teeth to them, they have to have follow-up, and they have to have commitments from the boards of companies."" The U.S. Commerce Department counsels companies operating in China regarding issues affecting their business, including the FCPA, and can help them conduct due diligence on partners and agents, said John Cobau, chief counsel for international commerce.",FCPA,business,affects
1684,"U.S. companies operating in China have been more affected by revelations about the extent of NSA spying programs, he said, since the disclosures by former government contractor Edward Snowden, who's now in Russia on temporary asylum.",revelations,U.S. companies,affects
1685,"One day in March 2010, a group of family members tried to visit Senator Bob Corker , a Tennessee Republican who was blocking the bill containing their safety measures because of a dispute over a labor issue affecting Memphis-based FedEx.",labor issue,Memphis-based FedEx,affects
1686,"The plan, which will mostly affect employees in Germany and France , is part of a revamp that will see the business take the name of jetliner unit Airbus.",plan,employees,affects
1687,"The refurbishment of 72 stores in the Edgars chain is ""almost complete, although the heavy build element of this program still negatively affected results,"" said the company, controlled by private-equity firm Bain Capital Partners LLC.",program,results,affects
1688,"The World Bank's recent study "" Economic Impacts of Inadequate Sanitation in India "" estimated that sanitation deficits cost the country about 6.4 percent of its 2006 gross domestic product -- a kind of hidden toilet tax that disproportionately affects the poor and makes them even poorer.",toilet tax,poor,affects
1689,"About 1 million to 5 million policyholders may be affected by Obama's proposal, according to an estimate from Matthew Borsch, a Goldman Sachs & Co. analyst.",Obama's proposal,policyholders,affects
1690,"Rand Weakness Since the end of September the rand has depreciated 1.4 percent against the dollar and its continued weakness will affect Investec's second-half results, Chief Executive Officer Stephen Koseff said in a conference call with reporters.",Rand Weakness,Investec's second-half results,affects
1691,"The text is supported by all six."" Ã¢â‚¬ËœDifferences Narrow' How Sanctions Affect Uranium Production The accord under consideration would deliver Iran limited sanctions relief from trade in gold, autos, petrochemicals and civilian aircraft parts in exchange for a verified halt to some elements of its nuclear activities, according to diplomats.",Sanctions,Uranium Production,affects
1692,"The move is unlikely to affect Icahn, said Vijay Kumar, an analyst with International Strategy & Investment Group in New York .",move,Icahn,affects
1693,"Pimco recommends investors avoid longer-dated Treasuries and instead invest in short-term and intermediate maturities that are less affected by rising yields and provide ""substantial roll-down,"" said Crescenzi.",rising yields,intermediate maturities,affects
1694,"""If the business community feels the government can just autonomously stop, when might it do it again?"" URS, a San Francisco-based provider of engineering and construction services, is one of the largest U.S. government contractors and was among the companies most affected by the federal shutdown.",federal shutdown,URS,affects
2486,"I became a landscape architect because I could productively work on the issues that affect the future."" (James S. Russell writes on architecture for Muse, the arts and culture section of Bloomberg News.",issues,future,affects
2487,"About 6.9 million people have been affected by the storm across 41 provinces, with nearly 150,000 houses damaged, the government said.",storms,people,affects
2489,"While it's ""too early"" to assess the impact of the limits, annecdotal reports of waning buyer interest and transaction volumes are evidence the measures are ""starting to affect the housing market,"" the RBNZ said in the stability report.",annecdotal reports,housing market,affects
2490,"No approved treatments exist for the condition called non-24-hour disorder, which affects as many as 95,000 totally blind people in the U.S, Vanda said.",non-24-hour disorder,blind people,affects
2492,"The government said at least 2,275 people were killed and a further 6.9 million may be affected as a result of the super typhoon that struck the southern Philippines on Nov. 8.",typhoon,people,affects
2493,"""We feel for the people affected by this unfortunate tragedy and hope that through the staging of this tournament and through our support of aid and relief programs, we will be able to help in whatever way possible,"" Mike Kerr, chief executive officer of the Asian Tour, said.",tragedy,people,affects
2494,"A lower rating can affect a bank's flexibility to buy back stock, pay dividends, engage in mergers and expand branches.",lower rating,"bank's flexibility to buy back stock,pay dividends,merger and branch expansion",affects
2495,"The take-up of Barrick's shares was probably affected by the timing of the sale and a drop in the gold price that started Oct. 31, the day the bought deal was announced, said John Ing, chief executive officer at Toronto-based Maison Placements Canada Inc., which owns Barrick shares.",timing of the sale,shares,affects
2496,"Uncertainty hurts small business Finally, someone who was affected by the federal government shutdown in October: small business.",federal government shutdown,small businesses,affects
2498,"The results of the ECB's review and stress tests -- as well as the possibility that information will leak before the end of the process -- could affect financial stability, the head of Germany's main banking association said in Frankfurt on Oct. 30.",information leak,financial stability,affects
2499,"The airline was this year made aware of seven eruptions, all in Africa , that could have affected operations, Davies added.",eruptions,operations,affects
2500,"Model S Production Tesla said it's ensuring the workers ""receive the best possible care."" Alexis Georgeson, a spokeswoman for the company, didn't have further details on how the accident will affect production of the Model S. Musk visited the injured Tesla employees yesterday, according to a report on KNTV in San Jose , California.",accidents,production,affects
2501,Never reason from a price-earnings ratio Stephen Gandel at Fortune has a post about how Wal-Mart can give its workers a 50 percent wage increase without affecting its stock price.,wage increase,stock price,affects
2502,"The disease affects fewer than 200,000 people in the U.S. with about 2,900 new cases diagnosed each year, New Brunswick , New Jersey-based J&J said in a statement.",disease,people,affects
2503,"The stoppage, which also affected the Standard sector of the bourse's securities market division, was due to a technical issue, according to a statement on its website.",stoppage,securities market division,affects
2504,"""The storm destruction has affected so many families and tourism businesses,"" Montecillo said.",storm destruction,families and tourism businesses,affects
2506,"A major tax bill would affect multiple industries and markets, including states that issue tax-exempt municipal bonds, companies such as retailer Macy's Inc. (M) that advocate lower corporate tax rates and individuals who receive tax-free health insurance from their employers.",tax bill,industries and markets,affects
2507,"""Even assuming that the public is forgetful enough to be affected by a three-month delay, there is a strong likelihood that this and related cases will still be in the news three months from now,"" U.S. District Judge Richard Sullivan said yesterday, rejecting the request.",delay,forgetfullness,affects
2508,Its decisions affect the well-being of every American and the strength and prosperity of our nation.,decisions,"well-being,strength and prosperity",affects
2509,"She said the ""guidelines change is frustrating,"" because she's not sure how they will affect her.",guidelines change,individual,affects
2510,"""There is no doubt that it will affect investment, growth and employment negatively,"" said Finance Minister Felipe Larrain on Oct. 30, referring to Bachelet's tax plans.",tax plans,"investment,growthand employment",affects
2511,"""Saying that the reform will affect growth is an argument that has been used historically to scare the population, but Bachelet was already president and she has always acted with seriousness and responsibility,"" Elizalde said.",reform,growth,affects
2512,"Finance minister Hyun Oh Seok said this month the authorities will act against ""herd behavior"" in the market as sharp moves in the won can affect the economy.",herd behaviour in market,economy,affects
2514,He'll meet people affected by the war and to talk with Tamil leaders before meeting Rajapaska.,war,people,affects
2515,"Prices reached a $42 discount to WTI after Citgo Petroleum Corp. reported a blaze at its 170,500-barrel-a-day Lemont, Illinois , plant Oct. 23, and a fire at Federated Co-operatives Ltd.'s Regina, Saskatchewan, refinery on Nov. 1 affected its heavy crude processing.",blaze and fire,crude processing,affects
2516,"The number of people affected by the disease is expected to climb 55 percent to 592 million by 2035 as factors including poor diet, a more sedentary lifestyle, increases in obesity and life expectancy fuel an epidemic, it said.",disease,people,affects
2517,"The majority of cases affects 40- to 59-year-olds, according to IDF.",cases,people,affects
2518,"The president's announcement, to the extent it affects the insurance market, will make that problem worse yet.",president's announcement,insurance market,affects
2519,"The rating downgrade ""hasn't affected the financial markets negatively,"" he said.",rating downgrade,financial markets,affects
2520,Developments in global money and financial market conditions and related uncertainties may have the potential to negatively affect economic conditions.,uncertainties,economic conditions,affects
